"","sub","rotation","imagename","match","imgID","movable","block","correct","response_time"
"1",1,0,"054_Schrank_Bueroschrank","match",54,0,1,1,1344
"2",1,60,"013_Blume_Rosen","mismatch",13,1,1,1,937
"3",1,240,"044_Lampe_Tischleuchte","mismatch",44,1,1,1,3202
"4",1,300,"065_Sofa_Zweiersofa","match",65,0,1,1,651
"5",1,60,"066_Stuhl_Barstuhl","mismatch",66,1,1,1,1425
"6",1,60,"072_Sessel_Ledersessel","match",72,0,1,1,1342
"7",1,240,"067_Stuhl_Buerostuhl","match",67,1,1,1,851
"8",1,300,"023_Glas_Sektglas","match",23,1,1,1,591
"9",1,120,"092_Boot_Ruderboot","match",92,1,1,1,732
"10",1,60,"011_Blume_Kaktus","mismatch",11,0,1,1,1026
"11",1,240,"093_Boot_Kanu","match",93,1,1,1,648
"12",1,300,"033_Kopfhoerer_Muschelkopfhoerer","mismatch",33,1,1,1,830
"13",1,0,"095_Boot_Kreuzfahrtschiff","match",95,0,1,1,626
"14",1,300,"001_Baum_Bonsai","mismatch",1,0,1,1,1074
"15",1,180,"074_Telefon_Smartphone","mismatch",74,1,1,1,1271
"16",1,60,"088_Flugzeug_Kampfflieger","mismatch",88,0,1,1,654
"17",1,180,"048_Nuss_Mandel","mismatch",48,1,1,1,1885
"18",1,240,"059_Sitzbank_Holzbank_ohne_Lehne","match",59,0,1,1,725
"19",1,120,"086_Auto_Polizeiauto","mismatch",86,0,1,1,807
"20",1,180,"064_Sofa_Ledersofa","mismatch",64,0,1,1,2161
"21",1,60,"050_Nuss_Wallnuss","match",50,1,1,1,787
"22",1,60,"017_Computer_PC","match",17,0,1,1,1251
"23",1,60,"053_Regal_Wandregal","match",53,0,1,1,1160
"24",1,120,"002_Baum_Palme","match",2,0,1,1,625
"25",1,300,"003_Baum_Tanne","mismatch",3,0,1,1,944
"26",1,120,"068_Stuhl_Holzstuhl","mismatch",68,1,1,1,802
"27",1,180,"018_Computer_Tablet","match",18,1,1,1,1503
"28",1,0,"061_Sitzbank_Baumbank","mismatch",61,0,1,1,719
"29",1,120,"083_Ventilator_Standventilator","mismatch",83,0,1,1,1066
"30",1,180,"025_Glas_Weinglas","mismatch",25,1,1,1,832
"31",1,0,"037_Mixer_Standmixer","match",37,1,1,1,1006
"32",1,240,"030_Klavier_Keyboard","mismatch",30,0,1,1,756
"33",1,0,"097_Besteck_Gabel","match",97,1,1,1,672
"34",1,180,"057_Seife_Kernseife","mismatch",57,1,1,0,1522
"35",1,120,"046_Besteck_Messer","match",46,1,1,1,1026
"36",1,60,"084_Ventilator_Tischventilator","match",84,1,1,1,981
"37",1,240,"009_Bildschirm_Flachbildfernseher","match",9,0,1,1,1192
"38",1,240,"041_Lampe_Schreibtischlampe","mismatch",41,1,1,1,1215
"39",1,0,"070_Stuhl_Schalenstuhl","mismatch",70,1,1,1,1032
"40",1,120,"096_Auto_Oldtimer","mismatch",96,0,1,1,900
"41",1,0,"040_Lampe_Deckenlampe","mismatch",40,0,1,1,898
"42",1,0,"043_Lampe_Strassenlaterne","match",43,0,1,1,854
"43",1,120,"087_Auto_Panzer","match",87,0,1,1,843
"44",1,60,"027_Kamera_Spiegelreflexkamera","match",27,1,1,1,677
"45",1,300,"012_Blume_Orchidee","mismatch",12,1,1,1,860
"46",1,60,"077_Tisch_Rundtisch","mismatch",77,0,1,1,837
"47",1,180,"076_Tisch_Holztisch","mismatch",76,0,1,1,707
"48",1,240,"073_Telefon_Schnurtelefon","match",73,1,1,1,693
"49",1,0,"004_Baum_Weide","match",4,0,1,1,1357
